Delta_mean,Delta_median,Delta_std,Delta_min,Delta_max,Theta_mean,Theta_median,Theta_std,Theta_min,Theta_max,Alpha_mean,Alpha_median,Alpha_std,Alpha_min,Alpha_max,Beta_mean,Beta_median,Beta_std,Beta_min,Beta_max,Gamma_mean,Gamma_median,Gamma_std,Gamma_min,Gamma_max,Delta_TP9_trend,Delta_AF7_trend,Delta_AF8_trend,Delta_TP10_trend,Theta_TP9_trend,Theta_AF7_trend,Theta_AF8_trend,Theta_TP10_trend,Alpha_TP9_trend,Alpha_AF7_trend,Alpha_AF8_trend,Alpha_TP10_trend,Beta_TP9_trend,Beta_AF7_trend,Beta_AF8_trend,Beta_TP10_trend,Gamma_TP9_trend,Gamma_AF7_trend,Gamma_AF8_trend,Gamma_TP10_trend,Delta_TP9_correlation,Theta_TP9_correlation,Alpha_TP9_correlation,Beta_TP9_correlation,Gamma_TP9_correlation,Delta_AF7_correlation,Theta_AF7_correlation,Alpha_AF7_correlation,Beta_AF7_correlation,Gamma_AF7_correlation,Delta_AF8_correlation,Theta_AF8_correlation,Alpha_AF8_correlation,Beta_AF8_correlation,Gamma_AF8_correlation,Delta_TP10_correlation,Theta_TP10_correlation,Alpha_TP10_correlation,Beta_TP10_correlation,Gamma_TP10_correlation,Result_trend
0.638129238,0.790509,0.432423136,-0.111761026,1.1904389,0.638859114,0.5662812,0.251570324,0.28928414,1.0564809,0.777241861,0.81911325,0.212994686,0.3018592,1.0800567,0.543847488,0.5591916,0.093098069,0.36935616,0.67516565,-0.00039644,-0.054672834,0.228038668,-0.3258657,0.531815,0.060394779,0.040471985,-0.041880435,0.112558739,0.074963863,0.085191698,0.083053542,0.072951541,0.025663312,0.020532672,0.036557346,0.041737598,0.002565606,-0.024648783,-0.025008156,-0.003302418,-0.061065262,-0.010652903,-0.019172171,-0.085805003,2.888496297,2.980821225,0.926923528,0.456128143,-1.872660632,4.819969359,1.951849036,0.759057389,-3.571721732,0.979923947,2.248106487,2.647660879,1.762703415,-1.615942813,-4.247748193,3.144932814,2.85732679,1.187072836,3.923836556,-1.004294499,2.0
-0.147642136,-0.15704088,0.122552036,-0.36854842,0.07499745,0.131947753,0.028161647,0.298553794,-0.22960499,0.94287807,0.327510743,0.20100999,0.285442344,0.021551667,0.8594856,-0.093394784,-0.14105092,0.115739595,-0.2509693,0.091635585,-0.604636863,-0.60906285,0.075245384,-0.7377777,-0.47651085,0.00567805,0.051593841,0.029521995,0.010355883,-0.061093488,-0.036054276,-0.038487163,-0.052985987,0.074255072,0.058514378,0.076469091,0.083932224,0.030800616,0.008260054,0.042572918,0.011808525,0.012588333,-0.022716303,-0.026117508,-0.010459811,-4.092346154,-0.08305883,4.411053125,5.769485964,5.790970889,5.611402377,1.69705555,4.656668867,5.255720814,-5.853102843,7.109828754,2.431902604,6.86058928,4.238419829,-1.113834263,0.288328739,2.960184341,7.063802212,5.022223449,-0.614766819,1.0
0.4080596145719298,0.44429398,0.2463113597822163,-0.09476172,0.87483793,0.4902073284320802,0.5853764,0.3570302855198983,-0.06804176,1.0189253,0.3198817908601503,0.24920389,0.2368370049371284,0.036800556,0.7296555,0.5016847696842105,0.50496984,0.0333061953786505,0.43620685,0.5670271,0.0076273743588972,-0.011331745,0.0694335500149863,-0.09625637,0.23568511,-0.0407285643353862,-0.0612866230847155,-0.0671381688116663,0.0132263019042299,-0.0419644491802334,-0.06973233886781,-0.073282861585322,-0.0675397045442454,0.0409680511546513,0.0590934464519058,0.0293293476423718,0.0402998383866123,0.0170183030266,-0.0030451320880779,0.0137754222358364,0.022809495570667,0.0290890196465379,-0.0051117193787012,0.0564165720289859,0.0325174437434692,1.300268768699163,0.9838170936102676,-2.1367726282463706,-0.6311939824848304,-2.923149978843769,0.5664695545085605,-1.4750927598694248,-1.887240207960044,-1.7764796095125108,0.5692338384708913,0.7392474455014786,-1.5355828663164486,0.1164009282918352,-0.2080266402509893,-0.4895538620642023,0.2626278271430713,-1.4418783779461282,-1.071368279705177,-0.1572856746091465,-0.1651631497911865,0.0
0.1079507,-0.08100031,0.44362092,-0.35921577,0.95150024,0.158725988,-0.06398097,0.328649744,-0.18761441,0.79245967,0.31566719,0.26497713,0.153139782,0.046192754,0.6084225,0.000923337,-0.024770226,0.093680199,-0.10373484,0.24118915,-0.408200042,-0.44992915,0.132071921,-0.62570965,-0.19558942,0.008081686,-0.030364174,-0.013293641,-0.077244762,0.097449618,0.053809909,0.103055054,0.067848937,0.022389955,-0.014085157,-0.047285197,-0.096462485,-0.03341411,-0.005258231,-0.030813558,-0.052723141,0.002200389,-0.011126305,0.022490952,-0.005097485,-1.581722709,-1.130662134,1.783812398,-0.884528839,-0.863951401,2.211583257,2.183733434,1.214829985,-2.137035013,-0.811668588,1.132605877,0.38077319,2.989170557,3.213113845,-2.402376063,2.517130801,1.491823844,3.404579108,3.265234764,2.152978957,1.0
0.481025432675,0.55580693,0.3076369574194179,-0.33779994,0.95853335,0.215715170845,0.24873392,0.1866253541598568,-0.29649135,0.46533006,0.3973412255774999,0.337399,0.1662700476377223,0.117553905,0.7189636,0.1759444714339999,0.16173929,0.0592032441795325,0.07322824,0.30026305,-0.224700481608,-0.21464688,0.0889320382163198,-0.41065586,-0.08544896,-0.0049179736115118,0.0349375845563641,0.1093017370261961,0.0757245588292754,-0.0387475489041645,-0.0011485795639575,0.0102835516059388,0.0144074838281347,-0.0385305837512769,-0.0273372202543072,0.0202011121577821,0.0119963103644865,-0.005037989058998,0.0096281163623806,0.0428811807248556,0.0074111160876826,-0.0045804204970635,-0.0322778732153837,0.0073862657980098,-0.008998180864735,4.658550127080524,4.51153648079425,3.667585149327664,2.9977001904944123,2.002320637815415,5.165649872279609,4.592883561738373,2.507546044663384,2.643081744184938,0.7633074994476925,2.8512095945575613,3.5878127361274466,-4.396830581577364,-1.9127458555057493,2.352777894318738,3.6306450804112895,1.8049213315453496,1.9917663937032315,-4.422768585952075,1.275572310166479,0.0
0.719868239,0.69593567,0.185399797,0.31895652,1.1113212,0.99694465,1.0997282,0.297170197,0.48708963,1.3579367,0.67491814,0.5985065,0.204169256,0.11538936,0.9380668,0.418932707,0.40687725,0.060760075,0.32099426,0.5683564,0.195519079,0.042070787,0.307315751,-0.13259389,0.7527221,-0.020311399,0.065899101,0.034804317,-0.041570239,-0.054943855,-0.008238195,-0.065614829,-0.073843638,-0.056491944,0.032019665,-0.071886093,-0.078147607,-0.000128048,-0.007651768,0.044892816,-0.010886122,0.141505502,0.011678978,0.030780038,0.102450326,-0.295362391,4.795620183,-4.08468805,1.649597003,4.131400434,6.276572736,5.267558497,5.63743934,3.216063882,5.364142524,3.587805925,5.357699246,-6.245438121,5.638304816,5.797981462,1.947444273,4.250731282,0.183408162,2.652416538,5.040173602,2.0
0.487329332,0.5494826,0.229951257,-0.04718095,0.84995204,0.759311205,0.6187713,0.45983407,-0.02503969,1.4591908,0.785317161,0.65426254,0.336302976,0.07621074,1.3726122,0.396596707,0.41943792,0.101322421,0.15615606,0.53715193,-0.080930734,-0.07555188,0.045398804,-0.22517523,0.015984418,0.028155112,0.013110964,0.000863302,0.051943259,-0.093411143,-0.040515281,-0.171521982,-0.105002513,-0.136463702,-0.035330496,-0.093996116,-0.06818947,-0.020166294,-0.01913545,-0.02862677,-0.004404417,-0.004081665,-0.01298963,-0.006361955,0.012029191,-0.788285583,4.089870915,4.430160393,6.347300917,1.328415487,-0.050275096,5.77595703,5.361330163,3.343015472,3.113535526,3.166869146,5.611109714,5.803331809,5.239976527,2.494227198,-3.618253116,5.630606926,5.433199779,1.20310952,-6.046113182,2.0
0.356084679,0.3392007,0.198406779,-0.011066671,0.6757692,0.275413085,0.19802202,0.235823327,0.12412328,1.0218799,0.653333087,0.6318631,0.203004374,0.29491082,1.0416003,0.43565922,0.4084036,0.126827322,0.25253284,0.7002186,-0.340297817,-0.318146,0.082753454,-0.5006144,-0.20945503,0.00567805,0.051593841,0.029521995,0.010355883,-0.061093488,-0.036054276,-0.038487163,-0.052985987,0.074255072,0.058514378,0.076469091,0.083932224,0.030800616,0.008260054,0.042572918,0.011808525,0.012588333,-0.022716303,-0.026117508,-0.010459811,-4.092346154,-0.08305883,4.411053125,5.769485964,5.790970889,5.611402377,1.69705555,4.656668867,5.255720814,-5.853102843,7.109828754,2.431902604,6.86058928,4.238419829,-1.113834263,0.288328739,2.960184341,7.063802212,5.022223449,-0.614766819,1.0
-0.154811221,-0.15220432,0.199078662,-0.5195616,0.16300425,-0.003246783,-0.14258692,0.337123613,-0.5155875,0.73401934,0.333162307,0.28052697,0.143470103,0.10365492,0.5688676,0.453771336,0.47687522,0.069856741,0.31705537,0.548913,-0.005685219,-0.010096848,0.058276429,-0.1488172,0.08302846,0.100401562,0.005433834,-0.014869585,0.075686463,0.128096459,0.097727128,0.132155063,0.124829166,0.077050552,0.045694338,0.075599235,0.135693096,0.043031695,0.026217874,0.007044148,0.039731229,-0.020550493,-0.014490715,-0.003670656,-0.03586437,6.947436004,8.031045472,7.368925844,7.285415955,-5.497248416,2.477037247,7.473307524,7.976117328,5.214394111,-5.830431059,-6.537986169,7.451164934,7.600353861,4.138059023,-4.697401157,5.817833551,8.00994115,7.039170533,4.606427852,-8.587233732,1.0
-0.070939662,-0.07831464,0.164730197,-0.3274918,0.16729489,0.379223722,0.38676134,0.260662411,-0.06841871,0.8007182,0.252612695,0.21415746,0.133080474,-0.05537261,0.5879045,-0.055525393,-0.040140398,0.067435667,-0.22262068,0.025441717,-0.472052859,-0.44695297,0.101158509,-0.71915096,-0.35709566,-0.187251948,-0.078991442,-0.022304672,-0.181123656,-0.10157831,-0.0617802,-0.008388363,-0.13971688,0.052380666,0.005087596,-0.0249792,-0.020330723,0.038312925,0.015246152,0.019957478,0.037132883,0.006399144,0.018875115,0.037545835,-0.013646453,3.213845027,4.019092342,1.137560603,1.858054289,3.786703452,0.175991074,3.741464692,-0.282420375,1.514746601,-4.367972839,2.208012806,4.63374997,1.443685639,-2.793803028,-2.158042869,2.314850544,4.049813022,2.815474551,-5.678087089,0.865285591,1.0
